subscriber_id,signup_date,country,region,age,gender,plan_type,monthly_price_usd,household_size,primary_device,payment_method,tenure_months,is_active,churn_date
SUB100162,2019-05-07,United States,North America,38,Male,Standard,15.49,2,Mobile,PayPal,86,,
SUB100163,2022-02-09,United States,North America,40,Male,Basic with Ads,6.99,1,Mobile,Carrier Billing,52,,2023-07-06
SUB100164,2021-02-03,Japan,East Asia,31,Male,Premium,22.99,4,Mobile,Credit Card,64,,
SUB100165,2019-08-19,India,South Asia,63,Female,Standard,15.49,1,Smart TV,Credit Card,82,,
SUB100166,2023-07-28,Canada,North America,61,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,34,,
SUB100167,2022-03-09,Germany,Europe,31,Male,Standard,15.49,1,Tablet,Credit Card,51,,
SUB100168,2023-11-10,India,South Asia,33,Male,Premium,22.99,2,Tablet,Credit Card,31,,2024-06-07
SUB100169,2022-05-17,Indonesia,Southeast Asia,31,Male,Standard,15.49,2,Streaming Stick,Debit Card,49,,
SUB100170,2026-04-14,India,South Asia,28,Male,Premium,22.99,1,Laptop,PayPal,1,,
SUB100171,2018-03-19,South Korea,East Asia,24,Male,Premium,22.99,3,Smart TV,Credit Card,99,,2023-08-20
SUB100172,2025-03-18,India,South Asia,42,Male,Basic with Ads,6.99,1,Game Console,Carrier Billing,14,,2026-03-24
SUB100173,2022-04-15,Argentina,Latin America,61,Male,Standard,15.49,2,Streaming Stick,Credit Card,50,,
SUB100174,2018-06-26,United States,North America,56,Male,Basic with Ads,6.99,1,Smart TV,Carrier Billing,96,,
SUB100175,2024-09-14,United States,North America,46,Male,Standard,15.49,1,Mobile,Credit Card,20,,
SUB100176,2022-06-30,United Kingdom,Europe,13,Female,Standard,15.49,2,Mobile,Credit Card,47,,
SUB100177,2024-11-10,Egypt,Middle East,13,Male,Premium,22.99,1,Mobile,PayPal,18,,
SUB100178,2023-11-04,Turkey,Middle East,49,Male,Standard,15.49,1,Mobile,Credit Card,31,,
SUB100179,2025-07-06,France,Europe,57,Female,Basic with Ads,6.99,1,Game Console,Debit Card,11,,
SUB100180,2022-08-02,Turkey,Middle East,43,Male,Basic with Ads,6.99,1,Game Console,Gift Card,46,,
SUB100181,2026-02-12,Turkey,Middle East,32,Female,Standard,15.49,1,Smart TV,PayPal,3,,
SUB100182,2022-05-01,South Korea,East Asia,53,Female,Basic with Ads,6.99,1,Laptop,Mobile Wallet,49,,
SUB100183,2017-07-14,India,South Asia,45,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,108,,
SUB100184,2026-05-21,France,Europe,50,Female,Premium,22.99,3,Smart TV,Debit Card,1,,2026-06-20
SUB100185,2022-05-25,Mexico,Latin America,13,Male,Standard,15.49,1,Mobile,Credit Card,48,,
SUB100186,2021-06-30,India,South Asia,40,Male,Standard,15.49,1,Game Console,Credit Card,59,,2025-10-06
SUB100187,2020-06-15,United States,North America,59,Female,Basic with Ads,6.99,1,Mobile,Mobile Wallet,72,,
SUB100188,2021-12-21,France,Europe,42,Female,Premium,22.99,4,Mobile,Debit Card,54,,
SUB100189,2023-03-10,India,South Asia,48,Female,Premium,22.99,3,Laptop,Credit Card,39,,
SUB100190,2021-11-13,Argentina,Latin America,36,Male,Standard,15.49,2,Mobile,Carrier Billing,55,,2025-05-29
SUB100191,2023-05-31,United States,North America,37,Male,Basic with Ads,6.99,1,Laptop,Credit Card,36,,2024-12-11
SUB100192,2022-02-26,United States,North America,54,Male,Premium,22.99,2,Mobile,Mobile Wallet,51,,
SUB100193,2023-09-03,Canada,North America,27,Female,Standard,15.49,1,Smart TV,Debit Card,33,,2025-10-11
SUB100194,2018-11-14,United States,North America,26,Female,Premium,22.99,3,Mobile,Debit Card,91,,
SUB100195,2020-01-06,United States,North America,29,Male,Standard,15.49,2,Smart TV,Mobile Wallet,77,,2025-09-19
SUB100196,2021-03-31,Brazil,Latin America,36,Male,Premium,22.99,3,Smart TV,Gift Card,62,,
SUB100197,2021-10-27,Italy,Europe,15,Male,Premium,22.99,4,Mobile,Credit Card,55,,
SUB100198,2021-10-08,United States,North America,45,Female,Standard,15.49,1,Game Console,Credit Card,56,,
SUB100199,2023-09-25,India,South Asia,33,Female,Premium,22.99,3,Mobile,Credit Card,32,,
SUB100200,2026-05-14,France,Europe,47,Female,Standard,15.49,1,Game Console,PayPal,1,,2026-06-13
SUB100201,2021-10-09,Thailand,Southeast Asia,13,Female,Standard,15.49,1,Smart TV,Debit Card,56,,
SUB100202,2026-01-06,South Korea,East Asia,47,Male,Standard,15.49,1,Mobile,Debit Card,4,,
SUB100203,2025-04-10,United States,North America,53,Female,Standard,15.49,2,Smart TV,PayPal,13,,
SUB100204,2025-07-12,United States,North America,41,Male,Premium,22.99,4,Mobile,Credit Card,10,,
SUB100205,2022-01-31,United States,North America,36,Male,Basic with Ads,6.99,1,Laptop,Debit Card,52,,2025-07-23
SUB100206,2024-02-01,United States,North America,47,Non-binary,Standard,15.49,2,Smart TV,Debit Card,28,,2026-04-17
SUB100207,2024-11-01,Mexico,Latin America,52,Male,Standard,15.49,2,Smart TV,Carrier Billing,19,,
SUB100208,2019-12-20,United States,North America,42,Female,Basic with Ads,6.99,1,Smart TV,PayPal,78,,
SUB100209,2025-09-14,South Korea,East Asia,43,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,8,,
SUB100210,2021-09-25,Spain,Europe,57,Male,Premium,22.99,4,Laptop,Carrier Billing,57,,
SUB100211,2020-08-06,Japan,East Asia,45,Female,Standard,15.49,1,Mobile,Credit Card,70,,
SUB100212,2025-05-14,United States,North America,25,Female,Premium,22.99,1,Streaming Stick,Debit Card,12,,
SUB100213,2025-03-05,Germany,Europe,52,Female,Premium,22.99,4,Smart TV,PayPal,15,,
SUB100214,2024-07-12,Spain,Europe,34,Female,Standard,15.49,1,Game Console,Debit Card,22,,
SUB100215,2016-03-18,France,Europe,36,Male,Basic with Ads,6.99,1,Tablet,Mobile Wallet,124,,
SUB100216,2023-05-08,United States,North America,37,Female,Basic with Ads,6.99,1,Tablet,Credit Card,37,,
SUB100217,2020-02-20,United States,North America,48,Female,Standard,15.49,2,Laptop,Mobile Wallet,76,,2023-09-06
SUB100218,2020-01-09,Australia,Oceania,58,Male,Standard,15.49,2,Smart TV,Credit Card,77,,
SUB100219,2025-09-11,United Kingdom,Europe,36,Male,Standard,15.49,2,Tablet,PayPal,8,,
SUB100220,2021-03-18,India,South Asia,58,Female,Standard,15.49,2,Smart TV,Debit Card,63,,
SUB100221,2023-11-07,South Korea,East Asia,38,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,31,,
SUB100222,2021-09-03,Mexico,Latin America,54,Male,Standard,15.49,1,Smart TV,PayPal,57,,
SUB100223,2021-06-17,Indonesia,Southeast Asia,38,Female,Basic with Ads,6.99,1,Mobile,Debit Card,60,,2023-12-12
SUB100224,2023-02-22,India,South Asia,29,Male,Standard,15.49,1,Smart TV,Credit Card,39,,2025-12-08
SUB100225,2020-04-28,Australia,Oceania,60,Female,Standard,15.49,1,Tablet,PayPal,74,,2023-01-18
SUB100226,2026-02-09,United States,North America,28,Male,Standard,15.49,2,Laptop,PayPal,3,,
SUB100227,2021-09-14,Japan,East Asia,27,Male,Premium,22.99,2,Laptop,Credit Card,57,,2025-06-17
SUB100228,2025-08-30,Brazil,Latin America,19,Female,Standard,15.49,1,Laptop,PayPal,9,,2026-04-21
SUB100229,2021-11-01,United States,North America,52,Male,Premium,22.99,3,Smart TV,Mobile Wallet,55,,
SUB100230,2023-02-12,United States,North America,55,Female,Basic with Ads,6.99,1,Mobile,Mobile Wallet,40,,
SUB100231,2017-07-11,United Kingdom,Europe,40,Male,Premium,22.99,4,Laptop,Credit Card,108,,
SUB100232,2024-06-07,Thailand,Southeast Asia,23,Male,Standard,15.49,1,Mobile,Carrier Billing,24,,2025-10-20
SUB100233,2025-10-13,Brazil,Latin America,35,Female,Standard,15.49,2,Mobile,Credit Card,7,,
SUB100234,2025-08-06,Australia,Oceania,32,Male,Basic with Ads,6.99,1,Smart TV,PayPal,9,,2026-03-05
SUB100235,2023-12-24,Germany,Europe,22,Male,Basic with Ads,6.99,1,Mobile,Debit Card,29,,2025-02-14
SUB100236,2019-07-20,South Korea,East Asia,29,Female,Premium,22.99,1,Mobile,Mobile Wallet,83,,2026-02-09
SUB100237,2023-12-30,Germany,Europe,42,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,29,,
SUB100238,2021-08-09,United States,North America,28,Female,Standard,15.49,2,Smart TV,Mobile Wallet,58,,2025-12-09
SUB100239,2022-01-10,United States,North America,39,Male,Basic with Ads,6.99,1,Mobile,Debit Card,53,,
SUB100240,2025-10-14,Canada,North America,13,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,7,,2025-12-01
SUB100241,2024-05-09,Germany,Europe,57,Male,Premium,22.99,2,Mobile,Debit Card,25,,
SUB100242,2022-10-10,United States,North America,30,Male,Standard,15.49,1,Smart TV,Credit Card,44,,2023-08-14
SUB100243,2026-04-08,South Korea,East Asia,47,Male,Standard,15.49,2,Smart TV,Mobile Wallet,1,,2026-05-08
SUB100244,2020-03-09,Brazil,Latin America,38,Male,Basic with Ads,6.99,1,Tablet,Credit Card,75,,2021-09-12
SUB100245,2022-09-14,Italy,Europe,41,Female,Basic with Ads,6.99,1,Tablet,Debit Card,45,,
SUB100246,2019-08-23,Brazil,Latin America,21,Male,Standard,15.49,1,Smart TV,Debit Card,82,,
SUB100247,2025-06-04,United Kingdom,Europe,26,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,12,,
SUB100248,2019-02-20,India,South Asia,26,Male,Basic with Ads,6.99,1,Mobile,Debit Card,88,,2025-10-26
